hotel_name,rating,count
"Marriott Vacation Club Pulse at Custom House, Boston",Excellent,513
"Marriott Vacation Club Pulse at Custom House, Boston",Very good,176
"Marriott Vacation Club Pulse at Custom House, Boston",Average,13
"Marriott Vacation Club Pulse at Custom House, Boston",Poor,14
"Marriott Vacation Club Pulse at Custom House, Boston",Terrible,12
Seaport Boston Hotel,Excellent,"3,157"
Seaport Boston Hotel,Very good,750
Seaport Boston Hotel,Average,132
Seaport Boston Hotel,Poor,52
Seaport Boston Hotel,Terrible,38
Four Seasons Hotel Boston,Excellent,"1,155"
Four Seasons Hotel Boston,Very good,199
Four Seasons Hotel Boston,Average,54
Four Seasons Hotel Boston,Poor,27
Four Seasons Hotel Boston,Terrible,17
Boston Harbor Hotel,Excellent,"1,310"
Boston Harbor Hotel,Very good,235
Boston Harbor Hotel,Average,55
Boston Harbor Hotel,Poor,20
Boston Harbor Hotel,Terrible,17
Lenox Hotel,Excellent,"2,213"
Lenox Hotel,Very good,555
Lenox Hotel,Average,123
Lenox Hotel,Poor,45
Lenox Hotel,Terrible,20
Courtyard Boston Copley Square,Excellent,"1,095"
Courtyard Boston Copley Square,Very good,381
Courtyard Boston Copley Square,Average,62
Courtyard Boston Copley Square,Poor,16
Courtyard Boston Copley Square,Terrible,15
InterContinental Boston,Excellent,"2,240"
InterContinental Boston,Very good,737
InterContinental Boston,Average,178
InterContinental Boston,Poor,70
InterContinental Boston,Terrible,62
"Mandarin Oriental, Boston",Excellent,446
"Mandarin Oriental, Boston",Very good,83
"Mandarin Oriental, Boston",Average,35
"Mandarin Oriental, Boston",Poor,9
"Mandarin Oriental, Boston",Terrible,8
Hotel Commonwealth,Excellent,"3,154"
Hotel Commonwealth,Very good,589
Hotel Commonwealth,Average,129
Hotel Commonwealth,Poor,51
Hotel Commonwealth,Terrible,22
Residence Inn by Marriott Boston Back Bay/Fenway,Excellent,909
Residence Inn by Marriott Boston Back Bay/Fenway,Very good,297
Residence Inn by Marriott Boston Back Bay/Fenway,Average,58
Residence Inn by Marriott Boston Back Bay/Fenway,Poor,16
Residence Inn by Marriott Boston Back Bay/Fenway,Terrible,7
Eliot Hotel,Excellent,689
Eliot Hotel,Very good,259
Eliot Hotel,Average,71
Eliot Hotel,Poor,36
Eliot Hotel,Terrible,24
XV Beacon,Excellent,770
XV Beacon,Very good,171
XV Beacon,Average,37
XV Beacon,Poor,30
XV Beacon,Terrible,14
Hilton Garden Inn Boston Logan Airport,Excellent,513
Hilton Garden Inn Boston Logan Airport,Very good,128
Hilton Garden Inn Boston Logan Airport,Average,26
